device_id,fraud_rate,fraud_count,transaction_count
6638.0,1.0,1,1
287404.0,1.0,1,1
306719.0,1.0,2,2
307489.0,1.0,2,2
486.0,1.0,4,4
69227.0,1.0,2,2
367746.0,1.0,1,1
122092.0,1.0,4,4
180611.0,1.0,3,3
308950.0,1.0,5,5
374474.0,1.0,2,2
162123.0,1.0,1,1
73501.0,1.0,1,1
123636.0,1.0,1,1
960729.0,1.0,6,6
207247.0,1.0,1,1
835213.0,1.0,2,2
183034.0,1.0,2,2
288714.0,1.0,4,4
972377.0,1.0,1,1
452560.0,1.0,1,1
46597.0,1.0,2,2
264379.0,1.0,1,1
341045.0,1.0,1,1
10312.0,1.0,2,2
129502.0,1.0,1,1
81082.0,1.0,3,3
129902.0,1.0,1,1
81906.0,1.0,1,1
17372.0,1.0,2,2
278124.0,1.0,2,2
362646.0,1.0,1,1
530853.0,1.0,1,1
190238.0,1.0,2,2
427796.0,1.0,1,1
133264.0,1.0,1,1
20098.0,1.0,3,3
248385.0,1.0,1,1
53477.0,1.0,1,1
512700.0,1.0,1,1
357277.0,1.0,6,6
86170.0,1.0,1,1
386429.0,1.0,2,2
111836.0,1.0,2,2
304536.0,1.0,1,1
508744.0,1.0,1,1
990288.0,1.0,1,1
304880.0,1.0,2,2
602462.0,1.0,2,2
313443.0,1.0,2,2
282011.0,1.0,1,1
453490.0,1.0,3,3
314172.0,1.0,3,3
114015.0,1.0,1,1
834436.0,1.0,2,2
416939.0,1.0,1,1
500595.0,1.0,1,1
174041.0,1.0,1,1
458322.0,1.0,1,1
495100.0,1.0,2,2
174844.0,1.0,5,5
457665.0,1.0,2,2
463922.0,1.0,1,1
355583.0,1.0,3,3
548247.0,1.0,1,1
556236.0,1.0,1,1
561984.0,1.0,1,1
570971.0,1.0,4,4
571150.0,1.0,3,3
586347.0,1.0,1,1
597308.0,1.0,5,5
611676.0,1.0,3,3
653105.0,1.0,1,1
656429.0,1.0,3,3
660508.0,1.0,1,1
670695.0,1.0,4,4
674387.0,1.0,1,1
677521.0,1.0,1,1
691601.0,1.0,1,1
694359.0,1.0,1,1
698520.0,1.0,4,4
705388.0,1.0,2,2
708210.0,1.0,1,1
724452.0,1.0,2,2
738394.0,1.0,3,3
752936.0,1.0,1,1
760682.0,1.0,3,3
769545.0,1.0,1,1
770656.0,1.0,2,2
790235.0,1.0,3,3
790490.0,1.0,1,1
808150.0,1.0,1,1
822562.0,1.0,4,4
857439.0,1.0,1,1
868746.0,1.0,3,3
873893.0,1.0,1,1
881571.0,1.0,2,2
884678.0,1.0,3,3
890266.0,1.0,1,1
892328.0,1.0,1,1
917759.0,1.0,1,1
918124.0,1.0,1,1
438940.0,0.9285714285714286,14,14
547440.0,0.9230769230769231,13,13
101848.0,0.8823529411764706,17,17
563499.0,0.8636363636363636,22,22
542535.0,0.8571428571428571,7,7
60010.0,0.8,5,5
766158.0,0.8,5,5
686249.0,0.8,5,5
